Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
1.85,1,-1.53265,2.212,4.18263,5.67491,9.77434,12.984,13.8126,14.0163,14.2098,14.5689,19.5602,20.7,21.9658,22.3141,22.7881,22.8559
1.87,1,-1.57689,2.262,4.20822,5.73329,9.84433,12.9736,13.6402,13.9218,14.3471,14.4167,19.3665,20.4819,22.0818,22.1772,22.9706,22.9888
1.89,1,-1.6262,2.31924,4.2457,5.79325,9.91494,12.8823,13.4731,13.7728,14.2731,14.6425,19.1736,20.2615,21.7194,22.3868,23.1081,23.1868
1.91,1,-1.68028,2.38431,4.29428,5.85449,9.98537,12.7562,13.3113,13.6239,14.1385,14.9956,18.9808,20.0379,21.3251,22.5949,23.2383,23.3828
1.93,1,-1.73869,2.4577,4.35315,5.91667,10.0547,12.6171,13.1548,13.482,14.0132,15.3774,18.7867,19.8093,20.935,22.8015,23.3259,23.5775
1.95,1,-1.80093,2.53974,4.42146,5.97947,10.1218,12.4745,13.0034,13.3493,13.8978,15.7761,18.5882,19.5738,20.5661,23.0068,23.3221,23.7715
1.97,1,-1.86642,2.63062,4.49839,6.04251,10.1853,12.3331,12.8573,13.2269,13.7927,16.1851,18.3805,19.331,20.2295,23.185,23.2102,23.9654
1.99,1,-1.93455,2.73041,4.58316,6.10543,10.2439,12.1952,12.7163,13.1159,13.6983,16.5995,18.1571,19.085,19.9325,22.9348,23.4105,24.1595
2.01,1,-2.00468,2.8391,4.67501,6.16786,10.296,12.0624,12.5804,13.0173,13.615,17.0127,17.9106,18.8462,19.6782,22.6259,23.6047,24.3537
2.03,1,-2.0762,2.95657,4.7732,6.22941,10.3398,11.9355,12.4497,12.9316,13.5432,17.4114,17.6377,18.6277,19.4697,22.2955,23.7845,24.546
2.05,1,-2.1485,3.08267,4.87701,6.28971,10.374,11.8151,12.3241,12.8594,13.4832,17.3324,17.7732,18.4433,19.321,21.9629,23.9241,24.7211
2.07,1,-2.22099,3.21718,4.98576,6.3484,10.397,11.7018,12.2036,12.8006,13.4351,17.012,17.9975,18.3287,19.2788,21.6389,23.9438,24.7473
2.09,1,-2.29314,3.35986,5.09875,6.40513,10.4079,11.5959,12.0882,12.7543,13.3994,16.6806,17.9748,18.3145,19.4153,21.3325,23.7544,24.7733
2.11,1,-2.36443,3.51043,5.21526,6.45957,10.4062,11.4976,11.9781,12.7189,13.376,16.3475,17.8489,18.2606,19.7086,21.0572,23.4367,24.9172
2.13,1,-2.43442,3.66862,5.33458,6.51144,10.3923,11.4069,11.8731,12.6912,13.3651,16.0202,17.7029,18.1609,20.0343,20.858,23.0792,25.1086
2.15,1,-2.50267,3.8341,5.45596,6.56048,10.3666,11.3238,11.7734,12.6668,13.3666,15.7059,17.5446,18.0522,20.1712,20.9093,22.7123,25.1128
2.17,1,-2.56881,4.00656,5.57862,6.60648,10.3304,11.2483,11.6789,12.6397,13.3803,15.4112,17.3722,17.9533,20.0475,21.2652,22.3464,24.7832
2.19,1,-2.63249,4.18563,5.70172,6.6493,10.285,11.1803,11.5898,12.6026,13.406,15.1436,17.1855,17.872,19.8581,21.7231,21.9858,24.4282
2.21,1,-2.69342,4.37093,5.82438,6.68883,10.2313,11.1198,11.506,12.5477,13.4433,14.9103,16.9865,17.8104,19.6674,21.6331,22.2148,24.0673
2.23,1,-2.75132,4.56204,5.94568,6.72501,10.1704,11.0666,11.4276,12.4677,13.4917,14.718,16.7786,17.7682,19.4891,21.2897,22.724,23.7084
2.25,1,-2.80594,4.75846,6.06462,6.75785,10.1027,11.0208,11.3546,12.3586,13.5503,14.5705,16.5654,17.745,19.3266,20.957,23.2431,23.3571
2.27,1,-2.85708,4.95961,6.18016,6.78738,10.0281,10.9823,11.2871,12.2211,13.6182,14.4666,16.3505,17.7401,19.1804,20.6362,23.0081,23.7767
2.29,1,-2.90454,5.16478,6.29123,6.81369,9.94598,10.9511,11.2251,12.0612,13.6944,14.4011,16.1373,17.7531,19.0503,20.3287,22.6714,24.3149
2.31,1,-2.94816,5.37311,6.3967,6.83691,9.85528,10.9271,11.1687,11.888,13.7774,14.3656,15.9292,17.7835,18.9353,20.0358,22.3449,24.8598
2.33,1,-2.98779,5.58346,6.49548,6.85715,9.75466,10.9099,11.1178,11.7118,13.8654,14.3517,15.7294,17.8307,18.8346,19.7594,22.0303,25.4103
2.35,1,-3.02331,5.79432,6.58647,6.8746,9.64294,10.899,11.0725,11.5419,13.9563,14.3519,15.5409,17.8935,18.7472,19.5014,21.7292,25.9651
2.37,1,-3.05461,6.00361,6.6686,6.88941,9.51976,10.8938,11.0328,11.3859,14.0476,14.3603,15.3669,17.9703,18.6725,19.2643,21.4439,26.523
2.39,1,-3.0816,6.20836,6.74093,6.90174,9.38644,10.8931,10.9987,11.2495,14.1364,14.3727,15.2103,18.0583,18.6096,19.0508,21.1771,27.0819
2.41,1,-3.1042,6.40426,6.80257,6.91174,9.24686,10.8958,10.9703,11.1358,14.2192,14.3861,15.0743,18.1536,18.558,18.8643,20.933,27.6387
2.43,1,-3.12236,6.58485,6.85278,6.91957,9.10821,10.9005,10.9476,11.046,14.2923,14.3983,14.9615,18.2503,18.5173,18.7085,20.7176,28.1884
2.45,1,-3.13602,6.74061,6.89097,6.92533,8.98161,10.9056,10.9305,10.9799,14.3517,14.4081,14.8747,18.3397,18.487,18.587,20.5393,28.7211
2.47,1,-3.14514,6.85835,6.91667,6.92911,8.88204,10.91,10.9191,10.9367,14.3938,14.4147,14.8157,18.4107,18.467,18.5036,20.4092,29.2134
2.49,1,-3.14971,6.92284,6.9296,6.93099,8.82621,10.9124,10.9134,10.9154,14.4157,14.418,14.7859,18.4506,18.457,18.4611,20.3398,29.5848
2.5,1,-3.15028,6.93122,6.93122,6.93122,8.81889,10.9127,10.9127,10.9127,14.4185,14.4185,14.7821,18.4558,18.4558,18.4558,20.3309,29.6483
