Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
2.13,1,-7.35471,2.41361,3.46829,4.0371,8.17873,10.3263,11.1322,11.3386,12.1965,14.1651,16.0383,16.9714,18.3615,19.0542,20.9988,22.5712
2.15,1,-7.36982,2.49075,3.53724,4.05856,8.05812,10.3015,11.1729,11.2841,12.1862,13.9453,15.9372,16.983,18.6391,18.8292,20.6808,22.7259
2.17,1,-7.3849,2.57482,3.60454,4.0784,7.93311,10.284,11.2088,11.229,12.1904,13.7429,15.8268,16.9545,18.5879,19.0081,20.3615,22.8104
2.19,1,-7.39985,2.66554,3.66979,4.0966,7.80419,10.274,11.1739,11.236,12.2084,13.5621,15.7101,16.9073,18.377,19.4002,20.0458,22.6912
2.21,1,-7.41454,2.76258,3.7326,4.11316,7.67177,10.2718,11.1193,11.2509,12.239,13.4064,15.5873,16.8547,18.1785,19.7363,19.8212,22.4289
2.23,1,-7.42886,2.86553,3.79259,4.12813,7.5362,10.2774,11.0659,11.2506,12.2811,13.2785,15.4586,16.8045,17.9959,19.4348,20.2612,22.1333
2.25,1,-7.4427,2.9739,3.84944,4.14154,7.39786,10.2905,11.0145,11.2334,12.3333,13.1795,15.324,16.7617,17.8304,19.1427,20.715,21.8346
2.27,1,-7.45594,3.0871,3.90282,4.15347,7.25719,10.3108,10.9654,11.1997,12.3943,13.1085,15.1843,16.7295,17.6823,18.8613,21.1762,21.5447
2.29,1,-7.46849,3.20443,3.95248,4.16398,7.11475,10.3377,10.9193,11.1516,12.4625,13.0627,15.0407,16.7097,17.5512,18.5918,21.2445,21.6657
2.31,1,-7.48023,3.325,3.99818,4.17316,6.97128,10.3703,10.8764,11.0931,12.5364,13.0376,14.8954,16.7031,17.4363,18.3357,20.9731,22.1452
2.33,1,-7.49109,3.44772,4.03971,4.18109,6.82781,10.4078,10.8372,11.0285,12.6143,13.0282,14.7512,16.7097,17.3366,18.0946,20.7113,22.6347
2.35,1,-7.50096,3.57118,4.07692,4.18787,6.68568,10.4487,10.8018,10.9622,12.694,13.0295,14.611,16.7288,17.251,17.8702,20.4638,23.1302
2.37,1,-7.50978,3.69356,4.10969,4.19358,6.54672,10.4914,10.7705,10.8979,12.7733,13.0373,14.4782,16.7586,17.1784,17.6646,20.2335,23.6297
2.39,1,-7.51747,3.81245,4.1379,4.1983,6.41339,10.5341,10.7434,10.8386,12.8496,13.0483,14.3561,16.7966,17.1179,17.4804,20.0234,24.1308
2.41,1,-7.52398,3.92461,4.16149,4.20211,6.28899,10.5747,10.7207,10.7864,12.9202,13.0598,14.2481,16.8397,17.0686,17.3201,19.8369,24.6297
2.43,1,-7.52924,4.02576,4.18041,4.20507,6.17788,10.611,10.7024,10.7431,12.9819,13.0702,14.1574,16.8835,17.03,17.1867,19.6784,25.1196
2.45,1,-7.53323,4.11046,4.19463,4.20724,6.08563,10.6407,10.6886,10.7097,13.0316,13.0784,14.0867,16.9231,17.0014,17.0833,19.5528,25.5871
2.47,1,-7.5359,4.17233,4.20411,4.20866,6.01866,10.6618,10.6794,10.6871,13.0667,13.084,14.0383,16.9534,16.9826,17.0126,19.4653,26.004
2.49,1,-7.53724,4.20523,4.20886,4.20936,5.98319,10.6728,10.6748,10.6756,13.0848,13.0867,14.0136,16.9699,16.9732,16.9766,19.4202,26.3017
2.5,1,-7.53741,4.20945,4.20945,4.20945,5.97865,10.6742,10.6742,10.6742,13.0871,13.0871,14.0105,16.9721,16.9721,16.9721,19.4145,26.351
