Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
1.77,1,-5.73874,2.40949,3.38829,4.39682,9.81272,11.9324,14.0718,14.453,14.627,15.5792,20.2247,21.1036,21.5818,22.0312,22.1857,22.6052
1.79,1,-5.74497,2.42856,3.35897,4.43264,9.87469,12.1698,13.8839,14.3365,14.4589,15.4153,20.1342,21.33,21.8277,21.9185,22.1495,22.7696
1.81,1,-5.75246,2.444,3.34419,4.47009,9.93798,12.3729,13.7051,14.2702,14.2984,15.2534,20.0148,21.5412,21.6789,22.0691,22.2485,22.9368
1.83,1,-5.76133,2.45593,3.3444,4.50893,10.002,12.518,13.5358,14.1456,14.2773,15.0943,19.8783,21.3946,21.7818,22.3049,22.3056,23.1068
1.85,1,-5.77166,2.46523,3.35924,4.54895,10.0658,12.5872,13.3757,14.0006,14.3756,14.9387,19.7322,21.1241,21.9916,22.2383,22.5369,23.2022
1.87,1,-5.78352,2.47334,3.38759,4.58989,10.1283,12.5835,13.2245,13.8633,14.5626,14.7873,19.5817,20.838,22.0271,22.196,22.7632,23.2224
1.89,1,-5.79695,2.48205,3.42789,4.63152,10.1882,12.5275,13.082,13.7339,14.6408,14.8175,19.4299,20.536,21.752,22.3898,22.9845,23.3396
1.91,1,-5.81198,2.49321,3.47845,4.67357,10.2435,12.4417,12.9487,13.612,14.5001,15.1176,19.2789,20.2189,21.4704,22.5697,23.2007,23.4969
1.93,1,-5.8286,2.50849,3.5376,4.71579,10.292,12.3422,12.8255,13.4975,14.3658,15.4449,19.1298,19.8911,21.2033,22.7289,23.4122,23.6719
1.95,1,-5.84679,2.52927,3.6039,4.75791,10.3312,12.2391,12.7139,13.3899,14.239,15.7858,18.9832,19.5611,20.9563,22.8566,23.6185,23.8559
1.97,1,-5.86648,2.55666,3.67606,4.79966,10.358,12.1384,12.6158,13.2887,14.1205,16.1268,18.8386,19.242,20.7295,22.9356,23.819,24.0447
1.99,1,-5.88759,2.5915,3.75299,4.8408,10.3696,12.0438,12.5337,13.1931,14.0116,16.449,18.6945,18.9543,20.5219,22.9433,24.0115,24.2362
2.01,1,-5.91002,2.63439,3.83376,4.88107,10.3634,11.9566,12.4698,13.1023,13.9135,16.7187,18.5578,18.7244,20.334,22.862,24.1904,24.4286
2.03,1,-5.93364,2.68572,3.91753,4.92024,10.338,11.8772,12.4262,13.0152,13.8274,16.877,18.4791,18.5565,20.1697,22.6948,24.3414,24.62
2.05,1,-5.95829,2.74575,4.00355,4.95809,10.2931,11.805,12.4032,12.931,13.7545,16.8693,18.4255,18.527,20.0405,22.4643,24.4273,24.808
2.07,1,-5.9838,2.8146,4.09113,4.99442,10.2301,11.7392,12.3998,12.8488,13.6958,16.7172,18.314,18.6688,19.9748,22.1974,24.3789,24.991
2.09,1,-6.01,2.89226,4.1796,5.02906,10.1509,11.6797,12.4129,12.768,13.652,16.488,18.2159,18.7915,20.0248,21.9148,24.1709,25.1671
2.11,1,-6.03667,2.97866,4.26834,5.06185,10.058,11.6266,12.4381,12.6884,13.6234,16.2292,18.1295,18.8122,20.2269,21.6316,23.8678,25.325
2.13,1,-6.06363,3.07361,4.35673,5.09268,9.9537,11.5803,12.4704,12.6099,13.6099,15.9653,18.0543,18.7384,20.543,21.3646,23.5259,25.4178
2.15,1,-6.09066,3.17688,4.44418,5.12145,9.84005,11.5414,12.5044,12.5329,13.6112,15.7098,17.9903,18.6104,20.841,21.1999,23.1711,25.3343
2.17,1,-6.11755,3.28816,4.53009,5.14812,9.71856,11.5103,12.4577,12.5346,13.6264,15.4714,17.9378,18.4534,20.7466,21.4848,22.8143,25.0662
2.19,1,-6.1441,3.40706,4.6139,5.17265,9.59034,11.4875,12.3849,12.5555,13.6549,15.2567,17.8962,18.2803,20.5281,21.9384,22.4611,24.7254
2.21,1,-6.17009,3.53311,4.69505,5.19504,9.45621,11.473,12.3148,12.5622,13.6958,15.071,17.8613,18.1018,20.3141,22.1145,22.4252,24.3654
2.23,1,-6.19532,3.66579,4.77302,5.21533,9.31675,11.467,12.2479,12.5507,13.7479,14.9179,17.8026,17.9534,20.1169,21.7766,22.927,24.0058
2.25,1,-6.21961,3.80444,4.84729,5.23356,9.17244,11.4693,12.1847,12.5188,13.8101,14.7993,17.6491,17.9095,19.9386,21.4491,23.3981,23.6936
2.27,1,-6.24277,3.94831,4.91741,5.24981,9.02376,11.4796,12.1254,12.4673,13.8813,14.7139,17.4541,17.9208,19.7794,21.1335,23.25,24.0181
